titolo,autore,quantita,eta_minima,genere
Verifiche personalizzate 2 vol.,Sciapeconi - Pigliapoco,1,20,saggio
Via Roma 73,M. Albertini,1,20,storia
Viaggio nel tempo - 1,G. Stilton,1,6,storia
Viaggio nel tempo 2,G. Stilton,1,6,storia
Viaggio nel tempo 3,G. Stilton,1,6,storia
Vivere nel Sahara con i Tuareg,Paesi e Popoli ,1,8,scienza
Voglio fare la scrittrice,P. Zannoner,1,8,narrativa
Voglio fare la scrittura,P- Zannoner,1,8,narrativa
Vuoi essere mia amica,S. Morgenstern,1,8,narrativa
Vuoi essere mia amica,S. Morgenstern,1,8,narrativa
Zamor di là dal sole,W. Minestrini,1,8,narrativa
Zanna bianca,G. Stilton,1,6,narrativa
Dinosauri e altre creature preistoriche ,De Agostini,1,8,scienza
il grande libro dell'antico Egitto,De Agostini,1,8,storia
Grande così .Animali a grandezza naturale ,Sophy Henn  De Agostini,1,7,scienza
A spasso nel tempo come vivevano i bambini nel passato ,Ben hubbard e Christiane Engel,1,9,storia
Anna Super Zep e l'inocorno ,Ciro Priello,1,7,narrativa
Storie per famiglie che vogliono essere felici,Begona Ibarrola ,1,9,saggio
Siamo fatti cosi  Il cuore ,de Agostini,1,8,scienza
Siamo fatti cosi . La grande enciclopedia del corpo umano ,de Agostini,1,8,scienza
Siamo fatti così. Il cervello,de Agostini,1,8,scienza
Buonanotte piccola peste ,de Agostini,1,7,narrativa
Atlante geografico metodico ,de Agostini,1,8,scienza
"Fiabe preziose deluxe ""Cenerentola""",de Agostini,1,6,narrativa
Sette giorni da strega,Kaye Umansky batello a vapore ,1,8,narrativa
Sotto copertura Colpo grosso per gli investigacani,Kate e Jol temple. De agostini,1,7,giallo
Super Kitty e il ladro di mezzanotte,de Agostini,1,6,giallo
Super Kitty guai con i baffi ,de Agostini,1,6,giallo
Anna Kadabra Dolcetti pericolosi,de Agostini,1,8,narrativa
Isadora Moon La pozione magica,de Agostini,1,8,narrativa
Sotto copertura Il caso quasi irrisolto di Mr. Gattoladro,de Agostini,1,8,giallo
Sotto copertura .Il malandrino del museo,de Agostini,1,8,giallo
Vangelo secondo Barabba,none,1,9,religione
Nina e il mistero dell'ottava nota ,Giunti Junior,1,7,giallo
Lo sguardo oltre il confine ,Francesca mannocchi ,1,9,narrativa
Sir Arthur Conan Doyle -,Classici de Agostini,1,10,giallo
Charles Dickens,Classici de Agostini,1,10,narrativa
Jules Verne,Classici de Agostini,1,10,narrativa
Leggo una stoRI in 5 minuti,Emme edizioni,1,6,narrativa
Il coocodrillo e la formica,G. Buteau,1,6,narrativa
Leggo una storia in 5 minuti - 2,Emme edizioni,1,6,narrativa
Lupo pera cotta e i 3 porcellini,Emme edizioni,1,6,narrativa
L'orto dell'orco,Emme edizioni,1,7,narrativa
I viaggi di Gulliver,Edizioni El - Stefano Bordiglioni,1,8,narrativa
Sandra: la capra detective - un ladro in fattoria,G. Campello,1,8,giallo
Il fiore della vita,A. Pellai,1,8,narrativa
Lotta combinaguai,A. Lindgren,1,8,narrativa
Piccole ballerine,Giunti,1,8,narrativa
Il piccolo principe,Ed. EL - S. Bordiglioni,1,6,narrativa
Settembre in campeggio,J Carioli,1,7,narrativa
Viaggio in Italia,Tea Stilton,1,6,scienza
Il caso dello scienziato pazzo,jeff creepy,1,8,giallo
storie dell'elefante e del cammello ,Kipling ,1,6,narrativa
Mistero alla fattoria ,Saletta,1,8,giallo
Oceania ,Giunti Junior,1,8,scienza
La gattina Rosy, edizioni ARKA,1,6,narrativa
Fanta- Ghirò,Alessandra De Angelis,1,8,narrativa
nessi,none,1,7,narrativa
Ciao! Mi chiamo Fliggy,I rosicchia favole,2,6,narrativa
Per un lato in più,Sabrina Colombo,2,7,narrativa
Ennie; la signorina combina guai,Sabrina Colombo,4,7,narrativa
"Draghi, briganti e figlie di re",Giudo Quarzo,3,7,narrativa
Il robot barbiere e altre storie matte,Comune di Romagnano Sesia,9,7,narrativa
Una strana collezione,Guido Quarzo,1,7,narrativa
Il musicista del Titanic,Sebastiano Ruiz Mignone,1,7,narrativa
